# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 108
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 03 00:54:14 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, '260449697', running on 142.157.168.42
# Player 3: Player-2, '260449697', running on 142.157.168.42
# Player 4: Player-3, '260449697', running on 142.157.168.42
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (2,2) (3,3)
1 (14,3) (15,4)
2 (2,13) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,4) (14,3)
2 (0,15) (2,13)
2 (2,13) (0,11)
2 null null
3 (15,15) (14,14)
0 (1,2) (2,3)
1 (14,3) (15,4)
2 (1,13) (2,13)
3 (14,14) (15,15)
0 (0,1) (1,2)
1 (15,4) (14,3)
2 (2,13) (3,13)
3 (15,15) (14,14)
0 (1,2) (3,4)
0 null null
1 (14,3) (15,4)
2 (3,13) (4,14)
3 (14,14) (15,15)
0 (0,3) (1,4)
1 (15,4) (14,3)
2 (1,12) (2,13)
3 (15,15) (14,14)
0 (1,4) (2,5)
1 (14,3) (15,4)
2 (2,13) (3,13)
3 (14,14) (15,15)
0 (3,0) (4,1)
1 (15,4) (14,3)
2 (3,13) (5,15)
2 null null
3 (15,15) (14,14)
0 (4,1) (5,2)
1 (14,3) (15,4)
2 (5,15) (6,15)
3 (14,14) (15,15)
0 (5,2) (6,3)
1 (15,4) (14,3)
2 (0,14) (1,13)
3 (15,15) (14,14)
0 (2,0) (4,2)
0 null null
1 (14,3) (15,4)
2 (1,13) (2,13)
3 (14,14) (15,15)
0 (4,2) (5,3)
1 (15,4) (14,3)
2 (2,13) (3,13)
3 (15,15) (14,14)
0 (5,3) (6,4)
1 (14,3) (15,4)
2 (3,13) (5,15)
2 null null
3 (14,14) (15,15)
0 (3,4) (4,5)
1 (15,4) (14,3)
2 (5,15) (7,15)
2 null null
3 (15,15) (14,14)
0 (4,5) (5,6)
1 (14,3) (15,4)
2 (7,15) (8,15)
3 (14,14) (15,15)
0 (1,0) (3,2)
0 null null
1 (15,4) (14,3)
2 (0,11) (1,12)
3 (15,15) (14,14)
0 (3,2) (4,3)
1 (14,3) (15,4)
2 (1,12) (2,13)
3 (14,14) (15,15)
0 (2,1) (3,2)
1 (15,4) (14,3)
2 (2,13) (3,13)
3 (15,15) (14,14)
0 (3,2) (5,4)
0 null null
1 (14,3) (15,4)
2 (3,13) (5,15)
2 null null
3 (14,14) (15,15)
0 (5,4) (6,5)
1 (15,4) (14,3)
2 (5,15) (7,15)
2 null null
3 (15,15) (14,14)
0 (6,5) (7,6)
1 (14,3) (15,4)
2 (7,15) (9,15)
2 null null
3 (14,14) (15,15)
0 (4,4) (5,5)
1 (15,4) (14,3)
2 (3,15) (5,15)
2 null null
3 (15,15) (14,14)
0 (5,5) (6,6)
1 (14,3) (15,4)
2 (5,15) (7,15)
2 null null
3 (14,14) (15,15)
0 (6,6) (7,7)
1 (15,4) (14,3)
2 (7,15) (8,14)
3 (15,15) (14,14)
0 (7,7) (8,8)
1 (14,3) (15,4)
2 (9,15) (10,15)
3 (14,14) (15,15)
0 (8,8) (9,9)
1 (15,4) (14,3)
2 (10,15) (11,15)
3 (15,15) (14,14)
0 (9,9) (10,10)
1 (14,3) (15,4)
2 (11,15) (11,14)
3 (14,14) (15,15)
0 (10,10) (11,11)
1 (15,4) (14,3)
2 (11,14) (12,13)
3 (15,15) (14,14)
0 (11,11) (12,11)
1 (14,3) (15,4)
2 (12,13) (13,12)
3 (14,14) (15,15)
0 (1,1) (2,2)
1 (15,4) (14,3)
2 (13,12) (14,11)
3 (15,15) (14,14)
0 (2,2) (4,4)
0 null null
1 (14,3) (15,4)
2 (14,11) (15,11)
3 (14,14) (15,15)
0 (4,4) (5,5)
1 (15,4) (14,3)
2 (15,11) (15,10)
3 (15,15) (14,14)
0 (5,5) (6,6)
1 (14,3) (15,4)
2 (15,10) (15,9)
3 (14,14) (15,15)
0 (6,6) (7,7)
1 (15,4) (14,3)
2 (2,15) (3,15)
3 (15,15) (14,14)
0 (7,7) (8,8)
1 (14,3) (15,4)
2 (3,15) (5,15)
2 null null
3 (14,14) (15,15)
0 (8,8) (9,9)
1 (15,4) (14,3)
2 (5,15) (7,15)
2 null null
3 (15,15) (14,14)
0 (9,9) (10,10)
1 (14,3) (15,4)
2 (7,15) (9,15)
2 null null
3 (14,14) (15,15)
0 (10,10) (11,11)
1 (15,4) (14,3)
2 (9,15) (10,15)
3 (15,15) (14,14)
0 (11,11) (13,11)
0 null null
1 (14,3) (15,4)
2 (10,15) (11,15)
3 (14,14) (15,15)
0 (2,5) (3,6)
1 (15,4) (14,3)
2 (11,15) (11,14)
3 (15,15) (14,14)
0 (3,6) (4,7)
1 (14,3) (15,4)
2 (11,14) (12,13)
3 (14,14) (15,15)
