# Server version 0.08 running on 142.157.180.166:8123
# Game ID: 335
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 10 02:05:15 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.180.166
# Player 2: Player-1, '260449697', running on 142.157.180.166
# Player 3: Player-2, '260449697', running on 142.157.180.166
# Player 4: Player-3, '260449697', running on 142.157.180.166
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (2,2) (3,3)
1 (14,3) (15,4)
2 (2,13) (4,15)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (2,3)
1 (15,1) (13,3)
1 null null
2 (1,13) (2,12)
3 (13,13) (15,11)
3 null null
0 (0,3) (1,4)
1 (13,2) (11,0)
1 null null
2 (1,12) (3,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (3,0) (4,1)
1 (14,0) (12,2)
1 null null
2 (3,15) (5,15)
2 null null
3 (15,14) (13,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,3) (14,4)
2 (2,15) (4,13)
2 null null
3 (13,15) (11,13)
3 null null
0 (1,0) (3,2)
0 null null
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 null null
3 (12,14) (10,12)
3 null null
0 (2,1) (4,3)
0 null null
1 (13,1) (11,1)
1 null null
2 (0,12) (1,11)
3 (15,12) (15,10)
3 null null
0 (0,2) (2,4)
0 null null
1 (12,0) (10,0)
1 null null
2 (3,14) (4,14)
3 (15,13) (13,11)
3 null null
0 (3,1) (5,3)
0 null null
1 (14,2) (12,4)
1 null null
2 (2,14) (4,12)
2 null null
3 (12,15) (11,14)
0 (1,3) (3,5)
0 null null
1 (12,1) (10,1)
1 null null
2 (1,14) (1,15)
3 (14,12) (14,11)
0 (2,3) (2,5)
0 null null
1 (13,3) (13,4)
2 (1,11) (1,12)
3 (13,14) (11,12)
3 null null
0 (3,3) (3,4)
1 (12,4) (12,5)
2 (1,12) (2,11)
3 (14,13) (12,11)
3 null null
0 (4,3) (4,4)
1 (12,5) (12,6)
2 (2,11) (2,13)
2 (2,13) (4,11)
2 null null
3 (13,11) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,13)
3 null null
0 (3,5) (3,6)
1 (15,2) (15,3)
2 (4,14) (3,15)
3 (10,12) (10,13)
0 (2,5) (2,6)
1 (15,3) (13,5)
1 null null
2 (3,15) (4,14)
3 (10,13) (10,14)
0 (1,1) (1,2)
1 (13,5) (13,6)
2 (4,14) (3,15)
3 (12,11) (10,13)
3 null null
0 (1,2) (2,3)
1 (11,2) (11,3)
2 (3,15) (4,14)
3 (10,13) (10,15)
3 null null
0 (2,3) (2,5)
0 (2,5) (2,7)
0 (2,7) (4,5)
0 null null
1 (13,4) (13,5)
2 (4,14) (3,15)
3 (11,12) (10,13)
0 (4,4) (4,6)
0 null null
1 (13,5) (13,7)
1 (13,7) (11,5)
1 null null
2 (3,15) (4,14)
3 (10,13) (9,14)
0 (3,4) (3,5)
1 (12,2) (12,3)
2 (4,14) (3,15)
3 (9,14) (9,15)
0 (3,5) (3,7)
0 null null
1 (12,3) (12,4)
2 (3,15) (4,14)
3 (11,13) (11,15)
3 null null
0 (3,7) (3,8)
1 (12,4) (12,5)
2 (4,14) (3,15)
3 (9,15) (8,15)
0 (4,5) (4,7)
0 null null
1 (12,5) (12,7)
1 null null
2 (3,15) (4,14)
3 (8,15) (7,15)
0 (4,7) (4,8)
1 (12,7) (12,8)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (1,4) (1,5)
1 (14,1) (14,2)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (1,5) (1,6)
1 (14,2) (13,3)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (4,1) (4,3)
0 null null
1 (13,3) (13,4)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (4,3) (4,4)
1 (13,4) (13,5)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (4,4) (4,5)
1 (13,5) (13,7)
1 (13,7) (11,9)
1 null null
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (4,5) (4,7)
0 (4,7) (4,9)
0 null null
1 (11,9) (11,10)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (2,4) (2,5)
1 (11,3) (11,4)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (2,5) (2,7)
0 null null
1 (10,1) (10,2)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (2,7) (2,8)
1 (10,2) (10,3)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (4,9) (4,10)
1 (14,4) (14,5)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (4,10) (3,11)
1 (14,5) (14,6)
2 (3,15) (4,14)
3 (12,14) (12,13)
0 (3,11) (1,13)
0 null null
1 (14,6) (14,7)
2 (4,14) (3,15)
3 (12,13) (12,14)
0 (3,8) (3,9)
1 (10,0) (10,1)
2 (3,15) (4,14)
3 (12,14) (12,13)
