# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 93
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 23:43:14 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, '260449697', running on 142.157.168.42
# Player 3: Player-2, '260449697', running on 142.157.168.42
# Player 4: Player-3, '260449697', running on 142.157.168.42
START Player-0 260449697
START Player-1 260449697
START Player-2 260449697
START Player-3 260449697
0 (1,3) (1,4)
1 (12,1) (12,2)
2 (1,14) (3,12)
2 null null
3 (14,13) (12,13)
3 null null
0 (3,1) (3,2)
1 (14,2) (14,4)
1 null null
2 (2,14) (1,14)
3 (13,14) (11,14)
3 (11,14) (13,12)
3 null null
0 (0,2) (0,4)
0 null null
1 (12,0) (12,1)
2 (1,14) (2,14)
3 (14,12) (14,13)
0 (1,1) (1,3)
0 (1,3) (1,5)
0 null null
1 (12,1) (12,3)
1 null null
2 (2,14) (1,14)
3 (14,13) (13,14)
0 (2,1) (2,3)
0 (2,3) (0,5)
0 null null
1 (13,1) (13,3)
1 (13,3) (15,5)
1 null null
2 (1,14) (2,14)
3 (13,14) (11,14)
3 null null
0 (1,0) (1,1)
1 (15,2) (15,4)
1 (15,4) (15,6)
1 null null
2 (2,14) (1,14)
3 (12,15) (11,15)
0 (1,1) (1,3)
0 null null
1 (13,0) (13,1)
2 (1,14) (2,14)
3 (15,13) (14,13)
0 (1,3) (0,2)
1 (13,1) (13,3)
1 null null
2 (2,14) (1,14)
3 (14,13) (13,14)
0 (0,2) (1,1)
1 (14,1) (14,2)
2 (1,14) (2,14)
3 (13,14) (12,15)
0 (1,1) (1,3)
0 null null
1 (14,2) (12,4)
1 null null
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 (12,15) (10,13)
3 null null
0 (1,3) (0,2)
1 (15,3) (15,4)
2 (1,14) (2,14)
3 (15,12) (15,13)
0 (0,2) (1,1)
1 (14,0) (14,1)
2 (2,14) (1,14)
3 (15,13) (14,13)
0 (1,1) (1,3)
0 null null
1 (14,1) (14,2)
2 (1,14) (2,14)
3 (14,13) (13,14)
0 (1,3) (0,2)
1 (14,2) (13,1)
2 (2,14) (1,14)
3 (13,14) (12,15)
0 (0,2) (1,1)
1 (13,1) (11,3)
1 (11,3) (13,5)
1 null null
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (13,2) (13,4)
1 (13,4) (13,6)
1 null null
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (15,1) (15,2)
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (0,2) (1,1)
1 (15,2) (15,3)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (15,3) (14,2)
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (14,2) (13,2)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (0,2) (1,1)
1 (13,2) (13,4)
1 null null
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (14,3) (14,5)
1 (14,5) (12,7)
1 null null
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (15,0) (15,1)
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (0,2) (1,1)
1 (15,1) (15,2)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (15,2) (15,3)
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (15,3) (14,3)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (0,2) (1,1)
1 (14,3) (14,5)
1 null null
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (13,3) (11,5)
1 null null
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (12,4) (12,5)
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (0,2) (1,1)
1 (12,5) (12,6)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,1) (1,3)
0 null null
1 (13,5) (13,7)
1 null null
2 (1,14) (2,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
0 (1,3) (0,2)
1 (13,7) (13,8)
2 (2,14) (1,14)
3 (12,15) (10,15)
3 (10,15) (12,15)
3 null null
